candidate_id,passed,known_interface_seed_worst_gain,failed_checks_json
quadratic_data__mean_estimated__diagonal_flowoff__l0,False,-0.7415116412666864,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__diagonal_flowoff__l0p001,False,-0.748311826899137,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__diagonal_flowoff__l0p01,False,-0.7261537525241075,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__diagonal_flowoff__l0p1,False,-0.5442382540951847,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__isotropic_flowoff__l0,False,-0.6985212518288756,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__isotropic_flowoff__l0p001,False,-0.7020636138688616,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__isotropic_flowoff__l0p01,False,-0.6801262376106819,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__isotropic_flowoff__l0p1,False,-0.5017990737908857,"[""nominal_harm_rate"",""nominal_worst"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__structured_flowoff__l0,False,-0.4228150320554412,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
quadratic_data__mean_estimated__structured_flowoff__l0p001,False,-0.4181253625358457,"[""nominal_field_mean"",""nominal_h1_mean"",""nominal_harm_rate"",""nominal_worst"",""outlier_field_mean"",""outlier_h1_mean"",""outlier_harm_rate"",""outlier_worst"",""clean_mean_both_stresses"",""clean_worst_both_stresses"",""nominal_family_tail"",""outlier_family_tail"",""known_interface_seed_present_and_safe""]"
