geometry_partition,correct_geometry_id,wrong_geometry_id,correct_mask_bits,wrong_mask_bits,fixed_point,mapping_rule
geometry_ood,g_010011111,g_011011101,010011111,011011101,False,lexical cyclic derangement within partition
geometry_ood,g_011011101,g_111001101,011011101,111001101,False,lexical cyclic derangement within partition
geometry_ood,g_111001101,g_111011010,111001101,111011010,False,lexical cyclic derangement within partition
geometry_ood,g_111011010,g_010011111,111011010,010011111,False,lexical cyclic derangement within partition
stress,g_100011111,g_110001111,100011111,110001111,False,lexical cyclic derangement within partition
stress,g_110001111,g_111000111,110001111,111000111,False,lexical cyclic derangement within partition
stress,g_111000111,g_111010011,111000111,111010011,False,lexical cyclic derangement within partition
stress,g_111010011,g_100011111,111010011,100011111,False,lexical cyclic derangement within partition
train,g_001011111,g_011001111,001011111,011001111,False,lexical cyclic derangement within partition
train,g_011001111,g_011011011,011001111,011011011,False,lexical cyclic derangement within partition
train,g_011011011,g_011011110,011011011,011011110,False,lexical cyclic derangement within partition
train,g_011011110,g_101001111,011011110,101001111,False,lexical cyclic derangement within partition
train,g_101001111,g_101010111,101001111,101010111,False,lexical cyclic derangement within partition
train,g_101010111,g_101011011,101010111,101011011,False,lexical cyclic derangement within partition
train,g_101011011,g_101011101,101011011,101011101,False,lexical cyclic derangement within partition
train,g_101011101,g_110010111,101011101,110010111,False,lexical cyclic derangement within partition
train,g_110010111,g_110011011,110010111,110011011,False,lexical cyclic derangement within partition
train,g_110011011,g_110011101,110011011,110011101,False,lexical cyclic derangement within partition
train,g_110011101,g_110011110,110011101,110011110,False,lexical cyclic derangement within partition
train,g_110011110,g_111001011,110011110,111001011,False,lexical cyclic derangement within partition
train,g_111001011,g_111010101,111001011,111010101,False,lexical cyclic derangement within partition
train,g_111010101,g_111011001,111010101,111011001,False,lexical cyclic derangement within partition
train,g_111011001,g_111011100,111011001,111011100,False,lexical cyclic derangement within partition
train,g_111011100,g_001011111,111011100,001011111,False,lexical cyclic derangement within partition
validation,g_011010111,g_101011110,011010111,101011110,False,lexical cyclic derangement within partition
validation,g_101011110,g_111001110,101011110,111001110,False,lexical cyclic derangement within partition
validation,g_111001110,g_111010110,111001110,111010110,False,lexical cyclic derangement within partition
validation,g_111010110,g_011010111,111010110,011010111,False,lexical cyclic derangement within partition
