case_id,scenario,expected_role,trial,parameter_name,parameter_value,parameter_value_float_hex,forward_path_id,probe_count,all_finite,maximum_signal_relative_defect,maximum_side_weighted_gamma_score,maximum_contraction_envelope_ratio,minimum_signal,maximum_condition_proxy,traditional_signal_gate,maximum_fd_relative_error,maximum_structure_relative_error,actual_forward_branch_changed,diagnostic_state_changed,ideal_reference_jvp_relative_error,ideal_reference_vjp_relative_error,ideal_reference_is_gate
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,1,True,7.254915277492741e-16,1.585652833026443e-05,2.497008636651834e-05,0.011955504713876672,83.87594697159149,True,4.99721540179751e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,2,True,7.254915277492741e-16,1.585652833026443e-05,2.497008636651834e-05,0.011955504713876672,83.87594697159149,True,6.033403979244599e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,4,True,2.140162522973264e-15,5.708528381651766e-05,8.914029632748374e-05,0.011955504713876672,83.87594697159149,True,8.352052983112361e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,8,True,4.698254222356011e-15,5.708528381651766e-05,8.914029632748374e-05,0.0030461247943351934,329.19835761968017,True,8.352052983112361e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,16,True,6.967389412382362e-15,5.708528381651766e-05,8.914029632748374e-05,0.0024311885491932602,412.4646275306304,True,1.0506933675257732e-11,0.0,False,False,0.0,0.0,False
trial-00__clean_low_bilinear_signal__none__0x0.0p+0,clean_low_bilinear_signal,clean_but_signal_relative_gate_is_unresolved,0,none,0.0,0x0.0p+0,base,1,True,1.030022263371825,2.5129913157754683e-05,3.966515828002973e-05,1.349529412564186e-17,7.513964760342333e+16,False,4.99721540179751e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_low_bilinear_signal__none__0x0.0p+0,clean_low_bilinear_signal,clean_but_signal_relative_gate_is_unresolved,0,none,0.0,0x0.0p+0,base,2,True,1.030022263371825,3.7633621617929274e-05,5.9109205113761506e-05,1.349529412564186e-17,7.513964760342333e+16,False,6.033403979244599e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_low_bilinear_signal__none__0x0.0p+0,clean_low_bilinear_signal,clean_but_signal_relative_gate_is_unresolved,0,none,0.0,0x0.0p+0,base,4,True,1.030022263371825,3.7633621617929274e-05,5.9109205113761506e-05,1.349529412564186e-17,7.513964760342333e+16,False,8.352052983112361e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_low_bilinear_signal__none__0x0.0p+0,clean_low_bilinear_signal,clean_but_signal_relative_gate_is_unresolved,0,none,0.0,0x0.0p+0,base,8,True,1.030022263371825,3.7633621617929274e-05,5.9109205113761506e-05,1.349529412564186e-17,7.513964760342333e+16,False,8.352052983112361e-12,0.0,False,False,0.0,0.0,False
trial-00__clean_low_bilinear_signal__none__0x0.0p+0,clean_low_bilinear_signal,clean_but_signal_relative_gate_is_unresolved,0,none,0.0,0x0.0p+0,base,16,True,1.030022263371825,6.272453786916202e-05,0.00010024468383429432,1.349529412564186e-17,7.513964760342333e+16,False,1.0506933675257732e-11,0.0,False,False,0.0,0.0,False
trial-00__separate_cancellation_residual__component_difference_scale__0x1.5798ee2308c3ap-27,separate_cancellation_residual,correct_formula_with_separate_arithmetic_requires_stability_report,0,component_difference_scale,1e-08,0x1.5798ee2308c3ap-27,separate,1,True,1.2229184597963729e-06,971.1067679980666,1515.260444212575,4.332095273325433e-12,2308.5539161435163,False,0.0008095174571579775,0.0,False,False,6.45157843136241e-08,1.587417592617958e-08,False
trial-00__separate_cancellation_residual__component_difference_scale__0x1.5798ee2308c3ap-27,separate_cancellation_residual,correct_formula_with_separate_arithmetic_requires_stability_report,0,component_difference_scale,1e-08,0x1.5798ee2308c3ap-27,separate,2,True,1.2229184597963729e-06,1569.341362500566,2480.927100677194,4.332095273325433e-12,2308.5539161435163,False,0.0008095174571579775,0.0,False,False,1.2506731865021347e-07,1.587417592617958e-08,False
trial-00__separate_cancellation_residual__component_difference_scale__0x1.5798ee2308c3ap-27,separate_cancellation_residual,correct_formula_with_separate_arithmetic_requires_stability_report,0,component_difference_scale,1e-08,0x1.5798ee2308c3ap-27,separate,4,True,1.2229184597963729e-06,2431.465838830607,3766.4612098508615,4.332095273325433e-12,2308.5539161435163,False,0.0008952609644729257,0.0,False,False,1.2506731865021347e-07,1.587417592617958e-08,False
trial-00__separate_cancellation_residual__component_difference_scale__0x1.5798ee2308c3ap-27,separate_cancellation_residual,correct_formula_with_separate_arithmetic_requires_stability_report,0,component_difference_scale,1e-08,0x1.5798ee2308c3ap-27,separate,8,True,4.600374704424858e-06,7168.722360212884,11143.646810466284,4.332095273325433e-12,2308.5539161435163,False,0.0011379283297923595,0.0,False,False,1.6559241246754218e-07,1.587417592617958e-08,False
